PassengerId,Survived,Pclass,Name,Sex,Age
1,0,3,Panula Master. Eino Viljami,male,1
2,0,3,Braund Mr. Owen Harris,male,22
3,1,3,Johnson Miss. Eleanor Ileen,female,1
4,1,1,Cumings Mrs. John Bradley (Florence Briggs Thayer),female,38
5,1,2,Becker Master. Richard F,male,1
6,1,3,Heikkinen Miss. Laina,female,26
7,1,1,Futrelle Mrs. Jacques Heath (Lily May Peel),female,35
8,0,3,Allen Mr. William Henry,male,35
9,0,1,McCarthy Mr. Timothy J,male,54
10,0,3,Palsson Master. Gosta Leonard,male,2
11,1,3,Johnson Mrs. Oscar W (Elisabeth Vilhelmina Berg),female,27
12,1,2,Nasser Mrs. Nicholas (Adele Achem),female,14
13,1,3,Sandstrom Miss. Marguerite Rut,female,4
14,1,1,Bonnell Miss. Elizabeth,female,58
15,0,3,Saundercock Mr. William Henry,male,20
16,0,3,Andersson Mr. Anders Johan,male,39
17,0,3,Vestrom Miss. Hulda Amanda Adolfina,female,14
18,1,2,Hewlett Mrs. (Mary D Kingcome) ,female,55
19,0,3,Rice Master. Eugene,male,2
20,0,3,Vander Planke Mrs. Julius (Emelia Maria Vandemoortele),female,31
21,0,2,Fynney Mr. Joseph J,male,35
22,1,2,Beesley Mr. Lawrence,male,34
23,1,3,"McGowan Miss. Anna ""Annie""",female,15
24,1,1,Sloper Mr. William Thompson,male,28
25,0,3,Palsson Miss. Torborg Danira,female,8
26,1,3,Asplund Mrs. Carl Oscar (Selma Augusta Emilia Johansson),female,38
27,0,1,Fortune Mr. Charles Alexander,male,19
28,0,1,Uruchurtu Don. Manuel E,male,40
29,0,2,Wheadon Mr. Edward H,male,66
30,0,1,Meyer Mr. Edgar Joseph,male,28
31,0,1,Holverson Mr. Alexander Oskar,male,42
32,0,3,Cann Mr. Ernest Charles,male,21
33,0,3,Vander Planke Miss. Augusta Maria,female,18
34,1,3,Nicola-Yarred Miss. Jamila,female,14
35,0,3,Ahlin Mrs. Johan (Johanna Persdotter Larsson),female,40
36,0,2,Turpin Mrs. William John Robert (Dorothy Ann Wonnacott),female,27
37,1,2,Laroche Miss. Simonne Marie Anne Andree,female,3
38,1,3,Devaney Miss. Margaret Delia,female,19
39,0,3,Arnold-Franchi Mrs. Josef (Josefine Franchi),female,18
40,0,3,Panula Master. Juha Niilo,male,7
41,0,3,Nosworthy Mr. Richard Cater,male,21
42,1,1,Harper Mrs. Henry Sleeper (Myna Haxtun),female,49
43,1,2,Faunthorpe Mrs. Lizzie (Elizabeth Anne Wilkinson),female,29
44,0,1,Ostby Mr. Engelhart Cornelius,male,65
45,1,2,Rugg Miss. Emily,female,21
46,1,2,West Miss. Constance Mirium,female,5
47,0,3,Goodwin Master. William Frederick,male,11
48,0,3,Sirayanian Mr. Orsen,male,22
49,1,1,Icard Miss. Amelie,female,38
50,0,1,Harris Mr. Henry Birkhardt,male,45
51,0,3,Skoog Master. Harald,male,4
52,1,2,Nye Mrs. (Elizabeth Ramell),female,29
53,0,3,Crease Mr. Ernest James,male,19
54,1,3,Andersson Miss. Erna Alexandra,female,17
55,0,3,Kink Mr. Vincenz,male,26
56,0,2,Jenkin Mr. Stephen Curnow,male,32
57,0,3,Goodwin Miss. Lillian Amy,female,16
58,0,2,Hood Mr. Ambrose Jr,male,21
59,0,3,Chronopoulos Mr. Apostolos,male,26
60,1,3,Bing Mr. Lee,male,32
61,0,3,Moen Mr. Sigurd Hansen,male,25
62,1,3,Dowdell Miss. Elizabeth,female,30
63,0,3,Waelens Mr. Achille,male,22
64,1,3,Sheerlinck Mr. Jan Baptist,male,29
65,0,1,Carrau Mr. Francisco M,male,28
66,1,2,Ilett Miss. Bertha,female,17
67,1,3,Backstrom Mrs. Karl Alfred (Maria Mathilda Gustafsson),female,33
68,0,3,Ford Mr. William Neal,male,16
69,1,1,Fortune Miss. Mabel Helen,female,23
70,0,3,Celotti Mr. Francesco,male,24
71,0,3,Christmann Mr. Emil,male,29
72,0,3,Andreasson Mr. Paul Edvin,male,20
73,0,1,Chaffee Mr. Herbert Fuller,male,46
74,0,3,Dean Mr. Bertram Frank,male,26
75,0,3,Coxon Mr. Daniel,male,59
76,0,1,Goldschmidt Mr. George B,male,71
77,1,1,Greenfield Mr. William Bertram,male,23
78,1,2,Doling Mrs. John T (Ada Julia Bone),female,34
79,0,2,Kantor Mr. Sinai,male,34
80,0,3,Petranec Miss. Matilda,female,28
81,0,1,White Mr. Richard Frasar,male,21
82,0,3,Johansson Mr. Gustaf Joel,male,33
83,0,3,Gustafsson Mr. Anders Vilhelm,male,37
84,0,3,Mionoff Mr. Stoytcho,male,28
85,1,3,Salkjelsvik Miss. Anna Kristine,female,21
86,0,3,Rekic Mr. Tido,male,38
87,0,1,Porter Mr. Walter Chamberlain,male,47
88,0,3,Barton Mr. David John,male,22
89,0,3,Jussila Miss. Katriina,female,20
90,0,3,Attalah Miss. Malake,female,17
91,0,3,Pekoniemi Mr. Edvard,male,21
92,0,2,Turpin Mr. William John Robert,male,29
93,0,1,Baxter Mr. Quigg Edmond,male,24
94,0,3,Andersson Miss. Ellis Anna Maria,female,2
95,0,2,Hickman Mr. Stanley George,male,21
96,0,1,White Mr. Percival Wayland,male,54
97,1,3,Nicola-Yarred Master. Elias,male,12
98,1,3,Madsen Mr. Fridtjof Arne,male,24
99,0,3,Ekstrom Mr. Johan,male,45
100,0,3,Drazenoic Mr. Jozef,male,33
101,0,3,Coelho Mr. Domingos Fernandeo,male,20
102,0,3,Robins Mrs. Alexander A (Grace Charity Laury),female,47
103,1,2,Weisz Mrs. Leopold (Mathilde Francoise Pede),female,29
104,0,2,Sobey Mr. Samuel James Hayden,male,25
105,0,2,Richard Mr. Emile,male,23
106,1,1,Newsom Miss. Helen Monypeny,female,19
107,0,1,Futrelle Mr. Jacques Heath,male,37
108,0,3,Osen Mr. Olaf Elon,male,16
109,0,1,Giglio Mr. Victor,male,24
110,1,3,Nysten Miss. Anna Sofia,female,22
111,1,3,Hakkarainen Mrs. Pekka Pietari (Elin Matilda Dolck),female,24
112,0,3,Burke Mr. Jeremiah,male,19
113,0,2,Andrew Mr. Edgardo Samuel,male,18
114,0,2,Nicholls Mr. Joseph Charles,male,19
115,1,3,"Andersson Mr. August Edvard (""Wennerstrom"")",male,27
116,0,3,"Ford Miss. Robina Maggie ""Ruby""",female,9
117,0,2,Byles Rev. Thomas Roussel Davids,male,42
118,0,2,Bateman Rev. Robert James,male,51
119,1,1,Pears Mrs. Thomas (Edith Wearne),female,22
120,0,1,Williams Mr. Charles Duane,male,51
121,1,3,"Gilnagh Miss. Katherine ""Katie""",female,16
122,0,3,Corn Mr. Harry,male,30
123,0,3,Cribb Mr. John Hatfield,male,44
124,1,2,"Watt Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40
125,0,3,Bengtsson Mr. John Viktor,male,26
126,0,3,Calic Mr. Jovo,male,17
127,1,3,"Goldsmith Master. Frank John William ""Frankie""",male,9
128,0,3,Skoog Mrs. William (Anna Bernhardina Karlsson),female,45
129,0,3,Ling Mr. Lee,male,28
130,0,1,Van der hoef Mr. Wyckoff,male,61
131,0,3,Rice Master. Arthur,male,4
132,0,3,Sivola Mr. Antti Wilhelm,male,21
133,0,1,Smith Mr. James Clinch,male,56
134,0,3,Klasen Mr. Klas Albin,male,18
135,0,1,Isham Miss. Ann Elizabeth,female,50
136,0,2,Hale Mr. Reginald,male,30
137,0,3,Leonard Mr. Lionel,male,36
138,0,3,Asplund Master. Clarence Gustaf Hugo,male,9
139,1,3,Kink-Heilmann Miss. Luise Gretchen,female,4
140,1,1,"Romaine Mr. Charles Hallace (""Mr C Rolmane"")",male,45
141,0,3,Bourke Mr. John,male,40
142,0,3,Turcin Mr. Stjepan,male,36
143,1,2,Pinsky Mrs. (Rosa),female,32
144,0,2,Carbines Mr. William,male,19
145,1,3,Andersen-Jensen Miss. Carla Christine Nielsine,female,19
146,1,2,Navratil Master. Michel M,male,3
147,1,1,Brown Mrs. James Joseph (Margaret Tobin),female,44
148,1,1,Lurette Miss. Elise,female,58
149,0,3,Olsen Mr. Karl Siegwart Andreas,male,42
150,0,2,"Yrois Miss. Henriette (""Mrs Harbeck"")",female,24
151,0,3,Vande Walle Mr. Nestor Cyriel,male,28
152,0,3,Johanson Mr. Jakob Alfred,male,34
153,1,3,"Cohen Mr. Gurshon ""Gus""",male,18
154,0,3,Strom Miss. Telma Matilda,female,2
155,0,3,Backstrom Mr. Karl Alfred,male,32
156,1,3,Albimona Mr. Nassef Cassem,male,26
157,1,3,"Carr Miss. Helen ""Ellen""",female,16
158,1,1,Blank Mr. Henry,male,40
159,0,3,Ali Mr. Ahmed,male,24
160,1,2,Cameron Miss. Clear Annie,female,35
161,0,3,Perkin Mr. John Henry,male,22
162,0,2,Givard Mr. Hans Kristensen,male,30
163,1,1,Newell Miss. Madeleine,female,31
164,1,3,Honkanen Miss. Eliina,female,27
165,0,2,Jacobsohn Mr. Sidney Samuel,male,42
166,1,1,Bazzani Miss. Albina,female,32
167,0,2,Harris Mr. Walter,male,30
168,1,3,Sunderland Mr. Victor Francis,male,16
169,0,2,Bracken Mr. James H,male,27
170,0,3,Green Mr. George Henry,male,51
171,1,1,Hoyt Mr. Frederick Maxfield,male,38
172,0,3,Berglund Mr. Karl Ivar Sven,male,22
173,1,2,Mellors Mr. William John,male,19
174,0,2,Fahlstrom Mr. Arne Jonas,male,18
175,1,1,Harris Mrs. Henry Birkhardt (Irene Wallach),female,35
176,0,3,Larsson Mr. Bengt Edvin,male,29
177,0,2,Sjostedt Mr. Ernst Adolf,male,59
178,1,3,Asplund Miss. Lillian Gertrud,female,5
179,0,2,Leyson Mr. Robert William Norman,male,24
180,0,2,Hold Mr. Stephen,male,44
181,1,2,"Collyer Miss. Marjorie ""Lottie""",female,8
182,0,2,Pengelly Mr. Frederick William,male,19
183,0,2,Hunt Mr. George Henry,male,33
184,0,2,Coleridge Mr. Reginald Charles,male,29
185,0,3,Maenpaa Mr. Matti Alexanteri,male,22
186,0,3,Attalah Mr. Sleiman,male,30
187,0,1,Minahan Dr. William Edward,male,44
188,0,3,Lindahl Miss. Agda Thorilda Viktoria,female,25
189,1,2,Hamalainen Mrs. William (Anna),female,24
190,1,1,Beckwith Mr. Richard Leonard,male,37
191,0,2,Carter Rev. Ernest Courtenay,male,54
192,0,3,Strom Mrs. Wilhelm (Elna Matilda Persson),female,29
193,0,1,Stead Mr. William Thomas,male,62
194,0,3,Lobb Mr. William Arthur,male,30
195,0,3,Rosblom Mrs. Viktor (Helena Wilhelmina),female,41
196,1,3,Touma Mrs. Darwis (Hanne Youssef Razi),female,29
197,1,1,Cherry Miss. Gladys,female,30
198,1,1,Ward Miss. Anna,female,35
199,1,2,Parrish Mrs. (Lutie Davis),female,50
200,1,3,Asplund Master. Edvin Rojj Felix,male,3
201,0,1,Taussig Mr. Emil,male,52
202,0,1,Harrison Mr. William,male,40
203,0,2,Reeves Mr. David,male,36
204,0,3,Panula Mr. Ernesti Arvid,male,16
205,1,3,Persson Mr. Ernst Ulrik,male,25
206,1,1,Graham Mrs. William Thompson (Edith Junkins),female,58
207,1,1,Bissette Miss. Amelia,female,35
208,1,3,Tornquist Mr. William Henry,male,25
209,1,2,Mellinger Mrs. (Elizabeth Anne Maidment),female,41
210,0,1,Natsch Mr. Charles H,male,37
211,1,1,Andrews Miss. Kornelia Theodosia,female,63
212,0,3,Lindblom Miss. Augusta Charlotta,female,45
213,0,3,Rice Master. Eric,male,7
214,1,3,Abbott Mrs. Stanton (Rosa Hunt),female,35
215,0,3,Duane Mr. Frank,male,65
216,0,3,Olsson Mr. Nils Johan Goransson,male,28
217,0,3,de Pelsmaeker Mr. Alfons,male,16
218,1,3,Dorking Mr. Edward Arthur,male,19
219,0,3,Stankovic Mr. Ivan,male,33
220,1,3,de Mulder Mr. Theodore,male,30
221,0,3,Naidenoff Mr. Penko,male,22
222,1,2,Hosono Mr. Masabumi,male,42
223,1,3,Connolly Miss. Kate,female,22
224,1,1,"Barber Miss. Ellen ""Nellie""",female,26
225,1,1,Bishop Mrs. Dickinson H (Helen Walton),female,19
226,0,2,Levy Mr. Rene Jacques,male,36
227,0,3,Haas Miss. Aloisia,female,24
228,0,3,Mineff Mr. Ivan,male,24
229,0,1,Allison Miss. Helen Loraine,female,2
230,1,1,Baxter Mrs. James (Helene DeLaudeniere Chaput),female,50
231,0,3,Johnson Mr. William Cahoone Jr,male,19
232,1,1,Penasco y Castellana Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo),female,17
233,0,2,Abelson Mr. Samuel,male,30
234,1,1,Francatelli Miss. Laura Mabel,female,30
235,1,1,Hays Miss. Margaret Bechstein,female,24
236,1,1,Ryerson Miss. Emily Borie,female,18
237,0,2,Lahtinen Mrs. William (Anna Sylfven),female,26
238,0,3,Hendekovic Mr. Ignjac,male,28
239,0,2,Hart Mr. Benjamin,male,43
240,1,3,Nilsson Miss. Helmina Josefina,female,26
241,1,2,Kantor Mrs. Sinai (Miriam Sternin),female,24
242,0,2,Moraweck Dr. Ernest,male,54
243,1,1,Wick Miss. Mary Natalie,female,31
244,1,1,Spedden Mrs. Frederic Oakley (Margaretta Corning Stone),female,40
245,0,3,Dennis Mr. Samuel,male,22
246,0,3,Danoff Mr. Yoto,male,27
247,1,2,Slayter Miss. Hilda Mary,female,30
248,1,2,Caldwell Mrs. Albert Francis (Sylvia Mae Harbaugh),female,22
249,1,1,Young Miss. Marie Grice,female,36
250,0,3,Nysveen Mr. Johan Hansen,male,61
251,1,2,Ball Mrs. (Ada E Hall),female,36
252,1,3,Goldsmith Mrs. Frank John (Emily Alice Brown),female,31
253,1,1,Hippach Miss. Jean Gertrude,female,16
254,0,1,Graham Mr. George Edward,male,38
255,0,3,Vander Planke Mr. Leo Edmondus,male,16
256,0,1,Pears Mr. Thomas Clinton,male,29
257,1,1,Burns Miss. Elizabeth Margaret,female,41
258,1,3,Dahl Mr. Karl Edwart,male,45
259,0,1,Blackwell Mr. Stephen Weart,male,45
260,1,2,Navratil Master. Edmond Roger,male,2
261,1,1,Fortune Miss. Alice Elizabeth,female,24
262,0,2,Collander Mr. Erik Gustaf,male,28
263,0,2,Sedgwick Mr. Charles Frederick Waddington,male,25
264,0,2,Fox Mr. Stanley Hubert,male,36
265,1,2,"Brown Miss. Amelia ""Mildred""",female,24
266,1,2,Smith Miss. Marion Elsie,female,40
267,1,3,"Coutts Master. William Loch ""William""",male,3
268,0,3,Dimic Mr. Jovan,male,42
269,0,3,Odahl Mr. Nils Martin,male,23
270,0,3,Elias Mr. Tannous,male,15
271,0,3,Arnold-Franchi Mr. Josef,male,25
272,0,3,Vanden Steen Mr. Leo Peter,male,28
273,1,1,Bowerman Miss. Elsie Edith,female,22
274,0,2,Funk Miss. Annie Clemmer,female,38
275,0,3,Skoog Mr. Wilhelm,male,40
276,0,2,del Carlo Mr. Sebastiano,male,29
277,0,3,Barbara Mrs. (Catherine David),female,45
278,0,3,Asim Mr. Adola,male,35
279,0,3,Adahl Mr. Mauritz Nils Martin,male,30
280,1,1,Warren Mrs. Frank Manley (Anna Sophia Atkinson),female,60
281,1,1,Aubart Mme. Leontine Pauline,female,24
282,1,1,Harder Mr. George Achilles,male,25
283,0,3,Wiklund Mr. Jakob Alfred,male,18
284,0,3,Beavan Mr. William Thomas,male,19
285,0,1,Ringhini Mr. Sante,male,22
286,0,3,Palsson Miss. Stina Viola,female,3
287,1,3,Landergren Miss. Aurora Adelia,female,22
288,0,1,Widener Mr. Harry Elkins,male,27
289,0,3,Betros Mr. Tannous,male,20
290,0,3,Gustafsson Mr. Karl Gideon,male,19
291,1,1,Bidois Miss. Rosalie,female,42
292,1,3,"Nakid Miss. Maria (""Mary"")",female,1
293,0,3,Tikkanen Mr. Juho,male,32
294,1,1,Holverson Mrs. Alexander Oskar (Mary Aline Towner),female,35
295,0,2,Davies Mr. Charles Henry,male,18
296,0,3,Goodwin Master. Sidney Leonard,male,1
297,1,2,Buss Miss. Kate,female,36
298,1,2,Lehmann Miss. Bertha,female,17
299,1,1,Carter Mr. William Ernest,male,36
300,1,3,Jansson Mr. Carl Olof,male,21
301,0,3,Gustafsson Mr. Johan Birger,male,28
302,1,1,Newell Miss. Marjorie,female,23
303,1,3,Sandstrom Mrs. Hjalmar (Agnes Charlotta Bengtsson),female,24
304,0,3,Johansson Mr. Erik,male,22
305,0,3,Olsson Miss. Elina,female,31
306,0,2,McKane Mr. Peter David,male,46
307,0,2,Pain Dr. Alfred,male,23
308,1,2,Trout Mrs. William H (Jessie L),female,28
309,1,3,Niskanen Mr. Juha,male,39
310,0,3,Adams Mr. John,male,26
311,0,3,Jussila Miss. Mari Aina,female,21
312,0,3,Hakkarainen Mr. Pekka Pietari,male,28
313,0,3,Oreskovic Miss. Marija,female,20
314,0,2,Gale Mr. Shadrach,male,34
315,0,3,Widegren Mr. Carl/Charles Peter,male,51
316,1,2,Richards Master. William Rowe,male,3
317,0,3,Birkeland Mr. Hans Martin Monsen,male,21
318,1,1,Minahan Miss. Daisy E,female,33
319,1,3,Sundman Mr. Johan Julian,male,44
320,1,2,Drew Mrs. James Vivian (Lulu Thorne Christian),female,34
321,1,2,Silven Miss. Lyyli Karoliina,female,18
322,0,2,Matthews Mr. William John,male,30
323,0,3,Van Impe Miss. Catharina,female,10
324,0,3,Charters Mr. David,male,21
325,0,3,Zimmerman Mr. Leo,male,29
326,0,3,Danbom Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren),female,28
327,0,3,Rosblom Mr. Viktor Richard,male,18
328,1,2,Clarke Mrs. Charles V (Ada Maria Winfield),female,28
329,1,2,"Phillips Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",female,19
330,1,3,Pickard Mr. Berk (Berk Trembisky),male,32
331,1,1,Bjornstrom-Steffansson Mr. Mauritz Hakan,male,28
332,1,2,Louch Mrs. Charles Alexander (Alice Adelaide Slow),female,42
333,0,3,Kallio Mr. Nikolai Erland,male,17
334,0,1,Silvey Mr. William Baird,male,50
335,1,1,Carter Miss. Lucile Polk,female,14
336,0,3,"Ford Miss. Doolina Margaret ""Daisy""",female,21
337,1,2,Richards Mrs. Sidney (Emily Hocking),female,24
338,0,1,Fortune Mr. Mark,male,64
339,0,2,Kvillner Mr. Johan Henrik Johannesson,male,31
340,1,2,Hart Mrs. Benjamin (Esther Ada Bloomfield),female,45
341,0,3,Hampe Mr. Leon,male,20
342,0,3,Petterson Mr. Johan Emil,male,25
343,1,2,Reynaldo Ms. Encarnacion,female,28
